condition,task_id,episode_index,initial_state_index,success,executed_actions,policy_calls
OPSD 1000 H20 current,2,5,35,True,270,14
OPSD 1000 H20 current,2,6,36,True,254,13
OPSD 1000 H20 current,2,7,37,True,257,13
OPSD 1000 H20 current,2,8,38,True,274,14
OPSD 1000 H20 current,2,9,39,True,284,15
OPSD 1000 H20 current,3,0,30,True,237,12
OPSD 1000 H20 current,3,1,31,True,240,12
OPSD 1000 H20 current,3,2,32,True,227,12
OPSD 1000 H20 current,3,3,33,True,231,12
OPSD 1000 H20 current,3,4,34,True,249,13
OPSD 1000 H20 current,3,5,35,True,245,13
OPSD 1000 H20 current,3,6,36,True,237,12
OPSD 1000 H20 current,3,7,37,True,237,12
OPSD 1000 H20 current,3,8,38,True,234,12
OPSD 1000 H20 current,3,9,39,True,236,12
OPSD 1000 H20 current,4,0,30,True,247,13
OPSD 1000 H20 current,4,1,31,False,520,26
OPSD 1000 H20 current,4,2,32,True,236,12
OPSD 1000 H20 current,4,3,33,True,257,13
OPSD 1000 H20 current,4,4,34,False,520,26
OPSD 1000 H20 current,4,5,35,True,241,13
OPSD 1000 H20 current,4,6,36,False,520,26
OPSD 1000 H20 current,4,7,37,True,260,13
OPSD 1000 H20 current,4,8,38,True,278,14
OPSD 1000 H20 current,4,9,39,False,520,26
OPSD 1000 H20 current,5,0,30,True,194,10
OPSD 1000 H20 current,5,1,31,True,194,10
OPSD 1000 H20 current,5,2,32,True,217,11
OPSD 1000 H20 current,5,3,33,False,520,26
OPSD 1000 H20 current,5,4,34,True,462,24
OPSD 1000 H20 current,5,5,35,True,403,21
OPSD 1000 H20 current,5,6,36,True,189,10
OPSD 1000 H20 current,5,7,37,True,187,10
OPSD 1000 H20 current,5,8,38,True,180,9
OPSD 1000 H20 current,5,9,39,True,292,15
OPSD 1000 H20 current,6,0,30,True,281,15
OPSD 1000 H20 current,6,1,31,True,254,13
OPSD 1000 H20 current,6,2,32,False,520,26
OPSD 1000 H20 current,6,3,33,True,252,13
OPSD 1000 H20 current,6,4,34,True,227,12
OPSD 1000 H20 current,6,5,35,True,243,13
OPSD 1000 H20 current,6,6,36,False,520,26
OPSD 1000 H20 current,6,7,37,True,486,25
OPSD 1000 H20 current,6,8,38,False,520,26
OPSD 1000 H20 current,6,9,39,True,337,17
OPSD 1000 H20 current,7,0,30,True,279,14
OPSD 1000 H20 current,7,1,31,False,520,26
OPSD 1000 H20 current,7,2,32,True,311,16
OPSD 1000 H20 current,7,3,33,False,520,26
OPSD 1000 H20 current,7,4,34,True,295,15
OPSD 1000 H20 current,7,5,35,True,268,14
OPSD 1000 H20 current,7,6,36,True,276,14
OPSD 1000 H20 current,7,7,37,False,520,26
OPSD 1000 H20 current,7,8,38,True,267,14
OPSD 1000 H20 current,7,9,39,True,267,14
OPSD 1000 H20 current,8,0,30,False,520,26
OPSD 1000 H20 current,8,1,31,True,413,21
OPSD 1000 H20 current,8,2,32,False,520,26
OPSD 1000 H20 current,8,3,33,True,455,23
OPSD 1000 H20 current,8,4,34,True,505,26
OPSD 1000 H20 current,8,5,35,True,433,22
OPSD 1000 H20 current,8,6,36,True,425,22
OPSD 1000 H20 current,8,7,37,False,520,26
OPSD 1000 H20 current,8,8,38,False,520,26
OPSD 1000 H20 current,8,9,39,False,520,26
OPSD 1000 H20 current,9,0,30,False,520,26
OPSD 1000 H20 current,9,1,31,True,258,13
OPSD 1000 H20 current,9,2,32,True,283,15
OPSD 1000 H20 current,9,3,33,True,264,14
OPSD 1000 H20 current,9,4,34,False,520,26
OPSD 1000 H20 current,9,5,35,False,520,26
OPSD 1000 H20 current,9,6,36,True,337,17
OPSD 1000 H20 current,9,7,37,False,520,26
OPSD 1000 H20 current,9,8,38,False,520,26
OPSD 1000 H20 current,9,9,39,False,520,26
